age,count
0.0,638
1.0,1091
2.0,1599
3.0,1657
4.0,1640
5.0,1682
6.0,1692
7.0,1740
8.0,1545
9.0,1545
10.0,1802
11.0,2272
12.0,3764
13.0,6441
14.0,8659
15.0,10810
16.0,11131
17.0,10398
18.0,10190
19.0,9525
20.0,9010
21.0,8513
22.0,8280
23.0,7761
24.0,6977
25.0,6493
26.0,5819
27.0,5474
28.0,5216
29.0,4720
30.0,4758
31.0,4098
32.0,4254
33.0,4097
34.0,4086
35.0,4072
36.0,4201
37.0,4173
38.0,3941
39.0,3861
40.0,4001
41.0,3615
42.0,3850
43.0,3507
44.0,3653
45.0,3650
46.0,3615
47.0,3513
48.0,3621
49.0,3526
50.0,3746
51.0,3651
52.0,3569
53.0,3600
54.0,3548
55.0,3439
56.0,3177
57.0,3258
58.0,3130
59.0,3067
60.0,2959
61.0,2669
62.0,2690
63.0,2601
64.0,2425
65.0,2202
66.0,2067
67.0,1882
68.0,1788
69.0,1728
70.0,1563
71.0,1390
72.0,1195
73.0,963
74.0,942
75.0,874
76.0,720
77.0,700
78.0,633
79.0,504
80.0,456
81.0,405
82.0,338
83.0,261
84.0,195
85.0,162
86.0,145
87.0,106
88.0,64
89.0,48
90.0,47
91.0,34
92.0,21
93.0,8
94.0,7
95.0,3
96.0,6
97.0,7
98.0,3
99.0,1
101.0,2
103.0,2
107.0,1
112.0,1
119.0,1
