prov,count
ขอนแก่น,20851
เชียงราย,20006
เชียงใหม่,19174
สงขลา,12060
สุรินทร์,10515
ร้อยเอ็ด,10116
เพชรบูรณ์,9226
อุดรธานี,9155
สุราษฎร์ธานี,8989
ชลบุรี,8550
ลำปาง,8133
พะเยา,7502
นครปฐม,7147
ประจวบคีรีขันธ์,6456
ภูเก็ต,6432
พิษณุโลก,6272
นครศรีธรรมราช,6249
นครสวรรค์,5624
อุตรดิตถ์,5414
สกลนคร,5339
สุพรรณบุรี,5333
สมุทรสาคร,5254
เลย,5002
เพชรบุรี,4932
แม่ฮ่องสอน,4693
กระบี่,4597
สระบุรี,4434
ลำพูน,4163
ชุมพร,4132
กรุงเทพมหานคร,3816
อำนาจเจริญ,3604
ชัยนาท,3319
ตรัง,3228
ราชบุรี,2987
หนองคาย,2922
น่าน,2901
นครพนม,2869
นครนายก,2831
มหาสารคาม,2743
จันทบุรี,2616
ระนอง,2535
สมุทรสงคราม,2488
สุโขทัย,2313
สิงห์บุรี,2294
นครราชสีมา,2287
สระแก้ว,2060
สตูล,2040
แพร่,1980
บุรีรัมย์,1875
อุบลราชธานี,1772
สมุทรปราการ,1714
มุกดาหาร,1577
ฉะเชิงเทรา,1490
อ่างทอง,1292
นราธิวาส,1272
กาญจนบุรี,1074
นนทบุรี,944
ระยอง,925
พังงา,760
ลพบุรี,669
พระนครศรีอยุธยา,607
หนองบัวลำภู,538
กาฬสินธุ์,497
ปราจีนบุรี,374
ปัตตานี,181
พิจิตร,114
อุทัยธานี,47
ชัยภูมิ,39
ตาก,21
